name,sub_name,score,price,labels,introduction,address
茶木‧台式休閒餐廳,TeaWood Taiwanese Cafe & Restaurant,3.5,$51-100,台灣菜/甜品/糖水/咖啡店,,東涌達東路20號東薈城名店倉地下G24號舖
何洪記,Ho Hung Kee,3,$51-100,粵菜 (廣東)/粉麵/米線/粥品,,赤鱲角香港國際機場一號客運大樓5樓抵港層接機大堂5T161號舖(非禁區)
寶蓮禪寺齋堂,Po Lin Monastery,3.5,$51-100,粵菜 (廣東)/素食/中菜館,,大嶼山昂坪昂坪路寶蓮禪寺
金滬庭京川滬菜館,Golden Shanghai Restaurant,3,$101-200,滬菜 (上海)/拉麵/中菜館,,東涌達東路20號東薈城名店倉1樓119號舖
廣場飯店,Plaza Inn Restaurant,3.5,$51-100,粵菜 (廣東)/多國菜/中式包點/中菜館,,大嶼山香港迪士尼樂園美國小鎮大街
大澳蓮香酒家,,3.5,$51-100,粵菜 (廣東)/海鮮/酒樓,,大澳吉慶街52號地下
莆田,PUTIEN,4,$101-200,閩菜 (福建)/海鮮/山珍海味/中菜館,,尖沙咀彌敦道118-130號美麗華廣場2期2樓269-270號舖
養心殿台式養生鍋,,4.5,$201-400,台灣菜/火鍋,,佐敦吳松街182號榮國中心2樓
101手工涮涮鍋,101 Grill Bar + Hot Pot,4,$201-400,台灣菜/火鍋,,尖沙咀厚福街9號地下
六両三,Liu Liang San,4,$51-100,台灣菜,餐廳老闆來自台灣，牛肉麵湯底以10斤牛筒骨熬至少30小時，不會添加任何味精。而麵條則是從本地麵廠製作的。,尖沙咀宜昌街3號地下
阿元來了,Yuan Is Here,4,$51-100,台灣菜/台式飲品/粉麵/米線,由台灣人主理的小店，裝潢以台灣老街為主題。食物則推介魯肉飯、鹽酥雞和起司蛋餅。,觀塘鴻圖道28號地下後座
軟橋米苔目餐廳,,4,$50以下,台灣菜/粉麵/米線,主打手打米苔目的小店，米苔目是台灣流行的美食，與銀針粉相似，軟腍彈牙，帶淡淡米香。,深水埗鴨寮街249號地下B舖
鐵牛台灣牛肉麵,Iron Cow Taiwanese Beef Noodles,3.5,$51-100,台灣菜/粉麵/米線,餐廳由台灣人主理，招牌菜為紅燒牛肉麵，湯頭帶牛肉香味及少許藥材味。台式小食及珍珠奶茶亦有水準。,尖沙咀加連威老道96號希爾頓大廈LG樓28號舖
羲和雅苑,XIHEYAYUAN,4,$401-800,京菜 (官府菜)/中菜館,來自北京的人氣烤鴨店，餐廳環境舒適並擁維港海景。招牌烤鴨提供三種食法，分別是鴨胸皮配藍莓醬及爆炸糖、鴨胸肉配芥末醬及鴨腿肉配饃皮京葱等配料的傳統食法。,尖沙咀廣東道3-27號海港城海運大廈2樓OTE203號舖
古早味休閒台灣,,4,$51-100,台灣菜/台式飲品/粉麵/米線/甜品/糖水,,旺角亞皆老街36-38號龍飛大廈閣樓全層及地下3-4號舖
壹蒸鍋,Sauna Hot Pot,4,$101-200,粵菜 (廣東)/港式/海鮮/壽司/刺身/蒸氣火鍋,,旺角西洋菜街1號兆萬中心15樓
心夜來潮,,3.5,$51-100,潮州菜/海鮮/粉麵/米線/粥品/小食店,以潮州小吃為主的小店，餐牌上雖然只有十多款食物，但大都是很少聽過的風味小吃，如手工捻面猴、菜茶、潮式生醃海鮮及小米餃等。,旺角西洋菜南街138號福苑2樓
潮丸,Chiu Ball,4,$51-100,潮州菜/港式/粉麵/米線,裝潢走年輕清新風的麵店，食物以牛丸為主打，牛肉味濃而且多汁彈牙。而紅燈籠椒及黃燈籠椒辣醬更是自家製的。,尖沙咀金馬倫道21C號地舖
正宗水上人氣鍋專門店,Boat Dweller Steam Hot Pot Specialist,4,$201-400,粵菜 (廣東)/火鍋/海鮮/蒸氣火鍋,主打蒸氣火鍋，必點美國生蠔，新鮮大隻，粥底吸收海鮮精華後更鮮甜美味。,旺角砵蘭街196號地下
雲來軒,Cloudland Chinese Cuisine,4,$201-400,粵菜 (廣東)/海鮮/點心/酒樓,高檔摩登Fusion 中菜，主理大廚 Paul Wong 曾於五星級酒店及著名餐廳工作，對於主理高級中菜相當富經驗，以獨到眼光及創新思維，妙用各式西、日食材來創作新菜式。,尖沙咀棉登徑17-23號華楓大廈1樓全層
玫瑰餐廳陳儀興,,4,$51-100,粵菜 (廣東)/港式/火鍋/茶餐廳/冰室,除了中式小菜外，餐廳亦提供各式口味的雞煲，如椰子雞、重廈雞及花雕醉雞鍋等。,新蒲崗爵祿街33A-37A號百勝工廠大廈地下
麻市滋味館,Delicious House Food,4,$101-200,粵菜 (廣東)/海鮮/中菜館,,佐敦炮台街68號啟儀閣地下B舖
鍋心粥底火鍋,,4,$101-200,粵菜 (廣東)/火鍋,,佐敦吳松街88-90號地下
城寨風味,Wall City Flavor,4,$101-200,粵菜 (廣東)/中菜館,懷舊中餐廳，以中式設計配上別致的餐具，別有一番風味。菜式以多樣化著稱，讓客人細味大江南北的味道。,九龍城南角道6-6A地下
翠林辣蟹舫,Greenland Spicy Crab,4,$101-200,粵菜 (廣東)/港式/海鮮/雞煲/蟹店,,尖沙咀亞士厘道24-38號天星大廈1樓A號舖
正宗水上人蒸氣鍋專門店,Boat Dweller Steam Hot Pot Specialist,4,$201-400,粵菜 (廣東)/火鍋/海鮮/蒸氣火鍋,主打蒸氣火鍋，必點美國生蠔，新鮮大隻，粥底吸收海鮮精華後更鮮甜美味。,尖沙咀加拿分道49號地下
潮福蒸氣石鍋,,4,$201-400,粵菜 (廣東)/火鍋/點心/蒸氣火鍋/酒樓,,旺角旺角道1號壹號商業中心1樓全層
飲茶,Yum Cha,3.5,$101-200,粵菜 (廣東)/點心/中式包點/中菜館/少鹽少糖食店,,旺角亞皆老街8號朗豪坊4樓7號舖
籠太子點心專門店,Prince Dragon,3.5,$50以下,粵菜 (廣東)/港式/點心/中式包點,,太子柏樹街9號
聚點,Joy Point Dim Sum,4,$51-100,粵菜 (廣東)/港式/點心/中菜館,中式小菜館，必試招牌菜聚香雞，另有多款住家湯品、炸物及小炒，適合家庭聚餐。,尖沙咀河內道2號2A舖
焱丸水產,Flame Japanese Cuisine,4,$201-400,日本菜/海鮮/壽司/刺身,提供各種類和牛，刺身，壽司，不論是上等肉類或季節性時令食材皆選用高檔優質與水準。用餐環境舒適寬敞，令每一位顧客好好享受美味活水產。,尖沙咀棉登徑23號華楓大廈地下5&6號舖
十和田總本店,Towada Sushi,4,$201-400,日本菜/壽司/刺身,由擁有20多年經驗的資深日籍壽司師傅主理，務求用最傳統的手法，處理每天由日本空運到港的高級食材。,尖沙咀金馬倫道42號華懋金馬倫中心地下
和氣食堂,Waki Shokudo,4,$101-200,日本菜/壽司/刺身/烏冬,,黃大仙正德街103號黃大仙中心南館地下G12A號舖
殿 大喜屋日本料理,TONO DAIKIYA Japanese Restaurant,4,$201-400,日本菜/壽司/刺身/串燒/日式放題/咪嘥嘢食店,,尖沙咀金巴利道26號1樓
Goobne Chicken,,4,$101-200,韓國菜/韓式炸雞,在韓國擁有過千間分店，主打非油炸烤雞。Goobne Chicken出品的烤雞以七種香料醃制最少24小時後再烤，雞肉嫩滑且無油膩感。,旺角彌敦道628號瓊華中心15樓
i CREMERiA Café,,4,$51-100,日本菜/甜品/糖水/雪糕/乳酪,由日式甜品店開設的café，除了供應店子皇牌蜜瓜芭菲、金箔雪糕等甜品以外，亦設三文治、意粉、漢堡扒等鹹點供應。主以木系傢俬、花系燭台等裝飾，很雅緻。,旺角亞皆老街8號朗豪坊4樓13號舖
大本瀛日式放題,DaBen Ei Japanese Restaurant,4,$201-400,日本菜/日式放題,,旺角西洋菜街1號兆萬中心10樓
神戶屋日韓放題,Kobe Fusion Restaurant,4,$201-400,韓國菜/日本菜/壽司/刺身/日式放題,,旺角西洋菜街1號兆萬中心8樓
掌壽司,Tenohira Sushi,4,$201-400,日本菜/壽司/刺身,工廈中的日本菜餐廳，由日本入口新鮮食材，擅長海產刺身、壽司，以及用不同做法提供各種和牛料理，例如和牛壽喜燒鍋、鐵板和牛等等。除此以外，每天亦有不同的時令菜式，新鮮感十足。,觀塘開源道60號駱駝漆大廈3座5樓U室
鮨一日本料理,G One Sushi Japanese Restaurant,4,$201-400,日本菜/壽司/刺身/烏冬/居酒屋,,尖沙咀厚福街12號藍馬商業大廈18樓
串酒里,KEBABEER,4,$201-400,日本菜/烤肉/串燒/酒吧,引入火山石燒技術，這能協助廚師更有效控制烤食物的生熟程度，雖然成本較高，但更能迅速鎖住肉汁，令食物外脆內軟。,尖沙咀山林道6號B舖 (漢國中心對面)
PAN de PAIN Pancakes & Sweets,,3.5,$51-100,日本菜/甜品/糖水/咖啡店,來自沖繩的人氣甜點店，主打日式空氣感鬆餅及特色拉花咖啡。,尖沙咀河內道18號K11購物藝術館B1樓B111B號舖
OPPA韓國燒肉店,OPPA Korean Restaurant,4,$101-200,韓國菜/海鮮/烤肉/韓燒/咪嘥嘢食店,,旺角洗衣街117號建煌華廈地下
Le Viet,,4,$101-200,越南菜/串燒,主打新派越菜，菜式做得精緻，價錢抵食足料，越式生牛河、牛油焗大頭蝦、椰青海鮮焗飯及金不換白酒煮蜆都是招牌菜。,尖沙咀彌敦道100號The ONE 4樓L402舖
大瀛喜日本料理,Daieiki Japanese Restaurant,4,$201-400,日本菜/日式放題,日式自助餐餐廳，過百款美食及甜點可無限量任意享用。,旺角奶路臣街11號MPM文華商場5樓
M3 Italian,,4,$201-400,意大利菜/海鮮/薄餅,Fusion意大利菜餐廳，有多款牛扒及海鮮菜式供應，食物都是水準之作，值得一試。,大圍積富街33號積康樓地下E-G舖
Olive Cafe,,3.5,$101-200,西式,,荃灣西樓角路1-17號新領域廣場地下4號舖
雅高·33,Artco． 33,3.5,$51-100,意大利菜/西式/酒/薄餅,以大型油畫佈置餐廳，帶點舊港式西餐風。生蠔新鮮抵食，是前菜必點的選擇。斧頭扒、肉眼扒等份量十足、肉味濃，還有坊間少見的功夫啤酒。,荃灣沙咀道328號寶石大廈地下21號舖
The Point,,4,$101-200,意大利菜/薄餅/沙律,糅合意大利和美國加州的煮食風格，以自選Pizza、沙律及意粉為主。,將軍澳唐德街9號將軍澳中心地下G01及G02號舖
咖啡灣,Cafe Swan,4,$51-100,西式/麵包店/漢堡包/咖啡店,裝修充滿夢幻、可愛少女風，櫃枱上更放大型有LEGO摩天輪。可愛卡通拉花咖啡，食物賣相精緻。,將軍澳貿業路8號新都城中心2期1樓1072-1073號舖
白宮,White House Cafe,3.5,$51-100,西式/All Day Breakfast/咖啡店,以「相機食先」作主題的咖啡館，裝修簡潔，All day breakfast等食物及飲品都有精緻特別賣相。,荃灣享和街16號嘉華樓地下D舖
Home Bar & Restaurant,,4,$101-200,西式/美國菜/串燒/酒吧,荃灣小店，性價比高，推介必食厚切美國10oz西冷扒。,荃灣青山公路407-411號金荃大廈地下A舖
荳子,Beans The Greenhouse,4,$101-200,西式/甜品/糖水/All Day Breakfast/咖啡店,主打All day breakfast、cafe輕食和甜品。餐廳環境光猛，亦有室外空間座位，環境舒適。Homemade cake賣相吸引，款式多。,沙田鄉事會路138號新城市中央廣場5樓503號舖
Aroma Dessert Cafe,,3.5,$51-100,西式/甜品/糖水/雪糕/乳酪/西式糕點,,荃灣鱟地坊38-46號祐強樓地下42號舖
夏雪,Summer Ice,4,$51-100,西式/甜品/糖水/雪糕/乳酪/咖啡店,主打賣相討好的紫薯及抹茶甜品，如紫薯窩夫、抹茶affogato及芭菲等。,大圍積富街31號益富閣地下3號舖
Cossi,,4,$101-200,意大利菜/酒吧,“Cossi”源自意大利文“to cook”的意思，取其 “Culinary Arts” 之意，供應洋溢想像力與創造性的美酒佳餚。,荃灣大壩街19-27號地下
Golem Craft Beer,,4,$101-200,西式/多國菜/酒/酒吧,,沙田石門京瑞廣場二期地下G07號舖
GOCHISO,,3.5,$101-200,意大利菜/西式/薄餅,親民意大利、西班牙菜餐廳，選擇多，份量十足。不少海鮮入饌菜式用料新鮮。特色甜品推介有鐵板上的熱辣辣荷蘭鬆餅。,沙田沙田正街18號新城市廣場一期1樓112號舖
德國餐廳,Das Bier,4,$101-200,德國菜,德國菜餐廳，豬手、啤酒乃最受歡迎之菜式。內設多款生啤機。,大埔翠怡街3號翠怡花園C座地下18 - 19號舖
What The Food Cafe,,4,$51-100,西式/多國菜/甜品/糖水/漢堡包/樓上cafe,,粉嶺業豐街13號多利工業大廈1樓F室
勝興茶室,Shing Hing Restaurant,3.5,$50以下,粵菜 (廣東)/點心/酒樓,香港少數仍使用傳統點心車的懷舊茶室，推介其他地方少見的豬肚燒賣和豬潤腸粉。,坪洲坪洲永安街26號地下
新金湖海鮮酒家,New Baccarat Seafood Restaurant,3,$101-200,粵菜 (廣東)/海鮮/大牌檔,,長洲北社海傍路9號A地下
蘇波記,So Bor Kee,3.5,$50以下,粵菜 (廣東)/川菜 (四川)/海鮮,,長洲北社海傍路11C地下
莆田,PUTIEN,4,$101-200,閩菜 (福建)/海鮮/山珍海味/中菜館,,荃灣大壩街4-30號荃灣廣場4樓416舖
士林台灣麵,Shilin Taiwan Shop,3.5,$51-100,台灣菜,老闆曾於台灣某酒店擔任廚師，餐廳出品的牛肉麵選用軟嫩多筋的巴西牛肉，搭配獨特的台式醬料，以及每天新鮮熬製20小時的牛骨湯。,元朗西菁街9號富盛大廈地下
汀汀烤活魚,,4,$51-100,川菜 (四川)/火鍋/雞煲/中菜館,以傳統烤全魚作招徠，活魚每天從街市入貨，加入港人最愛的打邊爐元素，食得更豐富。請來四川師傅做顧問，用料、湯底是精心調配。老闆特別訂來長方型的爐，火力平均，湯汁夠多也可像麻辣燙「涮」不同配料，配充滿麻辣香的湯底，更加惹味。,荃灣三坡坊22號地下
養心殿台式養生鍋,,4.5,$201-400,台灣菜/火鍋,餐廳提供多款特色湯頭，推薦寧神養心鍋，含有多種中藥材、鮮雞、豬肉及鮮魚，建議下配料前先喝湯，品嚐湯的鮮甜原味。,馬鞍山保泰街16號We Go Mall 2樓208號舖
羅東肉焿番,,4,$50以下,台灣菜/小食店,香港首間正宗台灣肉焿店， 其台灣宜蘭總店在當地亦頗有名氣，曾成為台灣國宴上的美食。,元朗鳳翔路69號建輝大廈地下5號舖
鼎泰豐,Din Tai Fung,3.5,$101-200,台灣菜/滬菜 (上海)/點心/中式包點/中菜館,,沙田沙田正街18號新城市廣場1期1樓166號舖
養心殿台式養生鍋,,4,$201-400,台灣菜/火鍋,,將軍澳唐德街3號九龍東智選假日酒店2樓
烤魚工房,How Fish Gong Fang,4,$101-200,川菜 (四川)/火鍋,,元朗教育路37號南天大厦地下8-9號舖
味苑,,4,$51-100,粵菜 (廣東)/燒臘/中菜館,,荃灣大壩街21-23號地下
鍋心粥底火鍋,,4.5,$101-200,粵菜 (廣東)/火鍋,,大圍積存街14號地下
三門仔漁夫火鍋點心專門店,Sam Mun Tsai Fusion Restaurant,4.5,$101-200,粵菜 (廣東)/港式/火鍋/點心,,葵涌石籬大隴街107號至109號昌榮樓地下3號舖
同仁四季音樂主題餐廳,Colleague Music Restaurant,4,$201-400,粵菜 (廣東)/火鍋,來自深圳的火鍋店，以椰子雞煲馳名。餐廳以現場音樂表演為主題，不時邀請本地獨立音樂人來表演。,荃灣青山公路荃灣段388號中國染廠大廈中染新城1樓106號舖
百樂潮州酒樓,Pak Loh Chiu Chow Restaurant,4,$401-800,潮州菜/海鮮/點心/中菜館/酒樓,,元朗朗日路8號形點二期3樓A316號舖
蒸廬,The Steam Hut,4,$51-100,粵菜 (廣東)/湯品/點心/中菜館,,沙田石門安群街3號京瑞廣場一期2樓225號舖
漁民麵館,Fisherman,3.5,$51-100,粵菜 (廣東)/粉麵/米線/山珍海味/中式糖水,以高質食材配搭平民撈麵，招牌菜為花膠蠔汁撈麵。嚴選來自冰島的鱈魚花膠，口感軟腍，膠質感重。,元朗擊壤路9號金寶大廈4號地舖
裕記大飯店,Yue Kee Restaurant,3,$101-200,粵菜 (廣東)/燒臘/中菜館,超過50年歷史的燒鵝老店，選用廣州自設鵝廠的黑鬃鵝，以炭火烤製，皮香且脆。,深井深康路9號地舖
點饌,Dum Sum Deluxe,4,$51-100,粵菜 (廣東)/港式/點心,,沙田石門安群街3號京瑞廣場1期2樓237號舖
大鍋口海鮮火鍋店,Giant Seafood Hot Pot,3.5,$101-200,潮州菜/火鍋,任點、任食、任飲,荃灣眾安街55號大鴻輝(荃灣)中心16樓全層
勝記海鮮酒家,Sing Kee Seafood Restaurant,4,$201-400,粵菜 (廣東)/海鮮/海鮮酒家,店家煮鮑魚的方式十分獨特，由酥炸到蒸煮，共有數十種。同時推薦古法扣兩頭鮑魚。,西貢西貢大街33-39號地舖
砂煲兄弟,Casserole Buddies,4,$51-100,粵菜 (廣東)/港式/中菜館/茶餐廳/冰室,,將軍澳重華路8號東港城1樓101號舖
生昌潮州海鮮酒家,Sun Cheong,3.5,$101-200,潮州菜/海鮮酒家,,大圍下徑口村151號地下 (田心警署對面)
清心齋,,4,$50以下,粵菜 (廣東)/素食,,將軍澳常寧路2號TKO Gateway地下Food Lane EF11號舖
好湯好麵,Hao Tang Hao Mian,4,$51-100,粵菜 (廣東)/港式/粉麵/米線,一碗湯麵，關鍵是要有好的湯底再加上好食材就好像有了靈魂一樣，令人一試難忘！,大圍積存街20號地舖
豚道樂,Butadouraku,3.5,$51-100,日本菜/拉麵,,荃灣大河道63號卓明大廈地舖
稻八日式火鍋炸物放題,Inahachi Shabu Shabu,4,$101-200,日本菜/火鍋/日式放題/咪嘥嘢食店,供應日式火鍋，設九洲豬骨、北海道牛乳等多個日式火鍋湯底。較為特別的是，餐廳設有自助炸物鍋，客人可揀選心水炸物款式後，再自行蘸上炸漿及米糠，放入鍋內炸約20秒左右就製成天婦羅。另有海苔、咖喱等天婦羅調味粉供應。,大埔舊墟直街4-20號美新大廈地下A2號舖
初見,Shoken,4,$51-100,日本菜/火鍋/烤肉/壽司/刺身/日式西餐,,荃灣海壩街22號華達樓地下F號舖
一糖,Idou Dessert,4,$51-100,港式/日本菜/甜品/糖水/中式糖水,位於獨立屋的小店，甜品款式多元化，有日式甜品如紫薯窩夫及綠茶心太軟，也有港式甜品如芒果腸粉。店外的塗鴉更適合文青拍照。,天水圍屏山上璋圍249號地下1號舖
芝加哥串燒酒場,Dragon BBQ Bar,4.5,$101-200,港式/日本菜/串燒/居酒屋,位於大埔的串燒酒場，提供多款手工啤酒，招牌串燒包括鹽燒牛舌、碳燒羊架、碳燒豬頸肉及風味羊肉串等。,大埔翠樂街11號美豐花園地下10號舖
逸之燒,Ichi Grill Shabu Shabu,4.5,$201-400,日本菜/火鍋/壽司/刺身/串燒,主打日式串燒的餐廳，裝潢走和式簡樸風。餐廳食物多元化，手卷、刺身、串燒、壽喜燒等都有，當中又以燒蟹腳、鹽燒雞翼及汁燒魷魚筒最為推介。,元朗鳳攸南街9號好順利大廈2座商場地下 57 號舖
校長燒肉日韓料理,,3.5,$101-200,韓國菜/日本菜/烤肉/自助餐,,元朗西菁街23號K Plus地下G19-24號舖
極尚大瀛喜日本料理,Deluxe Daieiki Japanese Restaurant,4,$201-400,日本菜/日式放題,,元朗朗日路9號形點1期2樓2001A舖
鳥山名,Toriyamana,4,$201-400,日本菜/拉麵/壽司/刺身/烏冬/串燒,,荃灣青山公路荃灣段398號愉景新城1樓1025-1026號舖
和拉麵,,4,$51-100,日本菜/拉麵,,大埔運頭街20-26號廣安大廈地下J號舖
滿屋日本料理,Manya Japanese Restaurant,3.5,$201-400,日本菜/日式放題,,荃灣眾安街55號大鴻輝(荃灣)中心10樓
泰海鮮,Seafood Thai,4,$201-400,泰國菜/海鮮/海鮮酒家,,屯門三聖街6號三聖商場地下5-8及14-16舖
魚一壽司,Sakara ichi sushi,4,$51-100,日本菜/壽司/刺身,,元朗教育路68號兆豐樓地下7號舖
拉麵台風,Ramen Taifu,3.5,$51-100,日本菜/拉麵,以魚介湯拉麵做主打的拉麵店，招牌沾麵每日限量供應，店中服務亦大受客人讚賞，店主歡迎客人追加各種要求。,荃灣大河道81號寶成樓地下7號舖
木船,Wooden boat,4,$51-100,港式/泰國菜/多國菜/茶餐廳/冰室,,大埔太和路34號翠怡花園地下
PizzaExpress,,3.5,$101-200,意大利菜/薄餅/無肉餐單,,東涌達東路20號東薈城名店倉地下G21號舖
Rainbow Cafe,,3.5,$50以下,西式/甜品/糖水/薄餅/咖啡店,,長洲新興海旁街63號地下
Beef & Liberty,,4,$101-200,英國菜/西式/漢堡包,,赤鱲角暢達路1號香港國際機場機場客運大樓(禁區) 第7層離港層東大堂7E138號舖
島中坊研,Island Workbench,4,$50以下,西式/咖啡店,,長洲中學路16號地下
Délifrance,,3.5,$51-100,法國菜/麵包店/三文治/沙律/咖啡店/咪嘥嘢食店,,赤鱲角香港國際機場一號客運大樓5樓抵港層接機大堂(非禁區)
Figos,,4,$201-400,西式/薄餅/西餐廳,,愉景灣D'Deck地下G07號舖
農舍,Green Cottage,4,$50以下,西式/素食/咪嘥嘢食店,,南丫島榕樹灣大街26號地下
The Pink Pig Music Bar and Restaurant,,4,$51-100,西式/多國菜/咖啡店/小食店,,長洲建新里11號地下
中國熊,China Bear,4,$51-100,意大利菜/酒吧,,大嶼山梅窩銀運路3號梅窩中心地下
艾堡餐廳,Eggenberg Island Café & Bar,3.5,$101-200,德國菜,,長洲東灣路85號地舖
甜Mi Mi,Sweet Mi Mi,4,$50以下,西式/甜品/糖水,,長洲新興街45號地舖
Shelly Cake Express,,3.5,$51-100,港式/西式/西式糕點 /咖啡店,,南丫島榕樹灣後街21號地下C舖
Hideout Cafe Bar,,4,$51-100,西式/All Day Breakfast/咖啡店,,南丫島榕樹灣大街77號地下
意大利餐廳,"Resto Restaurant, Pizza, Pasta, Ribs & Grill",3.5,$101-200,意大利菜,,東涌東涌海濱路海堤灣畔商場地下
彼得意大利薄餅,Fresh Basil Pizzeria,4,$50以下,意大利菜/薄餅,,長洲大興堤路19號地下
燒肉時代,Korea BBQ Time,4,$101-200,韓國菜/韓燒,,東涌富東街6號富東廣場1樓110C號舖
金泰屋,Come Thai House Thai Food Restaurant & Bar,3.5,$101-200,泰國菜/咖喱/串燒,,東涌黃泥屋村1號
故鄉俱樂部,Hometown Members Club,3.5,$50以下,日本菜/小食店,,長洲教堂路17號地下
芽莊越式料理,Nha Trang Vietnamese Cuisine,3.5,$101-200,越南菜,,東涌達東路20號東薈城名店倉地下G25號舖
Koh Tomyums,,4,$101-200,泰國菜/咖喱,,愉景灣D'Deck1樓105B號舖
元気寿司,Genki Sushi,3.5,$101-200,日本菜/壽司/刺身/迴轉壽司店,,東涌東堤灣畔3座地下25號舖
空港居酒屋,Airport Izakaya,3.5,$201-400,日本菜/壽司/刺身/酒店餐廳,空港居酒屋的鐵板燒、日式吉列菜式及空運新鮮刺身馳名。同時亦提供爐端燒、串燒、烏冬、壽司及天婦羅等佳餚，以及日本和其他國家的啤酒、日本清酒及特飲。客人可以在壽司，鐵板燒或天婦羅吧，欣賞廚師準備美味佳餚。餐廳有兩個貴賓房的私人活動或商務聚會。,赤鱲角暢達路9號富豪機場酒店地下
清邁泰式料理,Chiang Mai Thai Food,4,$51-100,泰國菜,"泰國廚師親自處理,位於長洲碼頭附近步行只需5分鐘。設有露天座位",長洲北社海傍路17A地下
味千拉麵,Ajisen Ramen,3.5,$51-100,日本菜/拉麵,,東涌富東邨富東商場地下2-3號舖
韓一館,First Korean Restaurant,4,$101-200,韓國菜,,愉景灣D’Deck 1樓102B舖
泰潮,,3.5,$51-100,泰國菜,,赤鱲角香港國際機場二號客運大樓5樓(非禁區)
美談韓國,Mi Dam Korean BBQ Restaurant,3.5,$101-200,韓國菜/烤肉/韓式炸雞,,東涌達東路花園
新羅寶韓國餐廳,Sorabol Korean Restaurant,3.5,$201-400,韓國菜/烤肉/韓燒,"新羅寶韓國餐廳提供傳統韓國料理,客人可選擇韓式鐵板燒或是火鍋。其海鮮及蔬菜均每星期由韓國空運送到。",赤鱲角香港國際機場二號客運大樓翔天廊5樓(非禁區)
Food Tree Korean Cuisine,,3.5,$51-100,韓國菜/快餐店,,東涌海濱路12號藍天海岸地下9D舖
饗和民,KYO Watami,3.5,$101-200,日本菜/壽司/刺身,,東涌達東路20號東薈城名店倉地庫1樓B13號舖
Spark Bar & Restaurant,,4,$201-400,意大利菜/法國菜/海鮮/酒吧/蠔吧,,中環蘭桂坊雲咸街29號LKF 29 4樓
DK Cuppa Tea,,4,$201-400,西式/咖啡店,由香薰品牌開設，提供一系列主題下午茶 、有機茶、咖啡、輕食和甜點，讓客人盡情放鬆，致力打造繁華都市中的綠州。,上環新街市街19號地舖
Ember,,4.5,$201-400,西式/酒吧,,銅鑼灣告士打道229-230號宇宙商業大廈地舖
Chez Bistro,,4.5,$201-400,西式/多國菜/西餐廳,,銅鑼灣耀華街3號百樂中心21樓
Barg,,4,$201-400,意大利菜/西式,體會歐陸美食文化、感受美酒佳餚的喜悅，為三五知己共聚暢飲聚餐的理想之地。主廚經驗豐富，精心挑選最佳食材，每日速運新鮮時令海產。店內裝潢時尚簡約、座位寬敞舒適及悠揚音樂，務求令每位顧客盡情享受用餐的生活品味！,銅鑼灣耀華街3號百樂中心1樓
La Postre,,4,$201-400,西班牙菜/甜品/糖水,有四間分店的西班牙菜餐廳，環境舒適優雅，不時推出時令主題菜式，招牌菜為芝士煎蟹餅、西班牙豬手及麻糬窩夫。,上環永樂街50號昌盛大廈3樓
Glasshouse,,3.5,$101-200,泰國菜/西式,用創新手法演繹傳統烹飪的藝術，通過的香料、食材的刺激，構成新潮流。菜單由分享小食、沙拉和輕量主菜組成，朋友之間和家庭分享輕鬆的用餐體驗。所有菜式結合香港本地，亞太區域和國際食材和配料。,中環港景街1號國際金融中心4樓4009號舖
The Point,,4,$101-200,意大利菜/薄餅/沙律,糅合意大利和美國加州的煮食風格，以自選Pizza、沙律及意粉為主。,銅鑼灣登龍街52號地舖
The Stadium,,4.5,$101-200,美國菜/薄餅/扒房/酒吧/主題餐廳,"以足球、欖球等球類運動為主題的餐廳，面積超過7,000多呎餐廳，除了有電視可觀賞英超、歐聯等足球賽事外，還有掟鏢機、桌球枱、足球機等，很適合大班朋友的聚會。",銅鑼灣波斯富街48號軒尼詩大廈2樓
Mini Club,,4,$201-400,西式/酒/海鮮/酒吧/蠔吧,樓上酒吧，中間有一個反轉的巴黎鐵塔，裝修富有情調。提供多款西餐，海鮮拼盤和生蠔都是食家推介。,銅鑼灣駱克道487-489號駱克駅1樓
Amici,,4,$401-800,意大利菜/西式/Fine Dining/扒房,中環意大利餐廳，裝修富歐陸情調，浪漫優雅。食物水準平均，晚市套餐性價比高。,中環士丹利街11號Stanley 11 8樓
FRITES Belgium on Tap,,4,$201-400,比利時菜/西餐廳,,銅鑼灣希雲街38號曦巒地下1號舖
La Crêperie,,4,$101-200,法國菜/甜品/糖水/無肉餐單/親子餐廳,主打以蕎麥麵粉為原料的法式鹹薄餅，亦有供應其他法國道地美食。,銅鑼灣駱克道459-461號The L. Square 8樓
CIAK - All Day Italian,,4,$201-400,意大利菜/麵包店/雪糕/乳酪/薄餅,2017年首奪米芝蓮車胎人推介的意大利菜餐廳，由米芝蓮三星大廚Bombana擔任總廚顧問，主打家庭式Pizza、自家製手工意粉、麵包同甜品等等。,太古太古城道18號太古城中心2樓265號舖
Neighbor,,4,$101-200,意大利菜/西式/扒房,,銅鑼灣邊寧頓街5號地鋪
Taco Chaca,,4,$51-100,美國菜/墨西哥菜/小食店,,西環西營盤第二街119號地下
Cali-Mex Bar & Grill,,3,$101-200,美國菜/墨西哥菜,,西環堅尼地城吉席街70號地下
El Charro Mexican Cantina,,3.5,$201-400,墨西哥菜/素食/串燒/西餐廳/串燒店,,薄扶林數碼港道100號數碼港商場2樓208號舖
